abv,brewery,date_added,name,num_ratings,rating,state,style,town,abv_range,category,year_added,ale
0.08,3 Stars Brewing Company,8/31/2018,3 Stars Wheelz of Steel,4,3.05,DC,IIPA - Imperial / Double IPA,Washington,8% and more,IPA,2018,1
0.124,3 Stars Brewing Company,5/31/2011,3 Stars Winter Madness,21,3.46,DC,Strong Ale - English,Washington,8% and more,Strong Ale,2011,1
0.102,3 Stars Brewing Company,4/18/2014,3 Stars Winter Madness (Bitter Orange),1,2.93,DC,Strong Ale - English,Washington,8% and more,Strong Ale,2014,1
0.106,3 Stars Brewing Company,11/22/2012,3 Stars Winter Madness (Juniper Berries),1,2.84,DC,Strong Ale - American,Washington,8% and more,Strong Ale,2012,1
0.106,3 Stars Brewing Company,8/9/2014,3 Stars Winter Madness (Red Wine),2,2.9,DC,Strong Ale - English,Washington,8% and more,Strong Ale,2014,1
0.096,3 Stars Brewing Company,3/23/2013,3 Stars Zombie Date Night,16,3.55,DC,Porter - Imperial,Washington,8% and more,Porter / Stout,2013,0
0.053,3 Stars Brewing Company,10/5/2016,DC Solidarity 2016 Grisette,2,3.07,DC,Saison / Farmhouse / Grisette,Washington,5-6%,Farmhouse Ale,2016,1
0.084,Atlas Brew Works,12/7/2016,Atlas Brew Works / DC Brau Emprosator,2,3.09,DC,Bock - Doppelbock,Washington,8% and more,Lager,2016,0
0.083,Atlas Brew Works,6/8/2017,Atlas Brew Works / Meridian Pint Double Dance of Days,2,3.11,DC,IIPA - Imperial / Double IPA,Washington,8% and more,IPA,2017,1
0.056,Atlas Brew Works,9/24/2018,Atlas Brew Works A Priest and a Rabbi Walk Into A Bar,1,2.94,DC,Belgian Ale - Pale / Golden,Washington,5-6%,Pale Ale,2018,1
0.1,Atlas Brew Works,9/8/2014,Atlas Brew Works Anniversary Ale,6,3.22,DC,Belgian Ale - Strong Pale,Washington,8% and more,Strong Ale,2014,1
0.067,Atlas Brew Works,2/4/2015,Atlas Brew Works Anniversary Farmhouse,1,2.91,DC,Saison / Farmhouse / Grisette,Washington,6-7%,Farmhouse Ale,2015,1
0.067,Atlas Brew Works,8/11/2015,Atlas Brew Works Barrel Aged Pumpernickel Stout,1,2.87,DC,Specialty Grain - Other,Washington,6-7%,Specialty,2015,0
0.1,Atlas Brew Works,12/29/2018,Atlas Brew Works Batch 500,1,2.94,DC,BarleyWine / WheatWine / RyeWine,Washington,8% and more,Strong Ale,2018,1
0.048,Atlas Brew Works,8/20/2017,Atlas Brew Works Birth Ritual,2,3.0,DC,Sour / Wild Beer,Washington,4-5%,Sour,2017,0
0.044,Atlas Brew Works,8/25/2017,Atlas Brew Works Blood Orange Gose,12,3.25,DC,Gose - Flavored,Washington,4-5%,Sour,2017,0
0.053,Atlas Brew Works,5/27/2017,Atlas Brew Works Coffee Common (Compass),6,3.39,DC,California Common / Steam Beer,Washington,5-6%,Amber Ale,2017,1
0.053,Atlas Brew Works,9/5/2016,Atlas Brew Works Coffee Common (Zeke's),4,3.1,DC,California Common / Steam Beer,Washington,5-6%,Amber Ale,2016,1
0.085,Atlas Brew Works,3/3/2018,Atlas Brew Works Commoner,2,3.0,DC,California Common / Steam Beer,Washington,8% and more,Amber Ale,2018,1
0.065,Atlas Brew Works,5/13/2018,Atlas Brew Works Damn Good IPA,2,3.05,DC,IPA,Washington,6-7%,IPA,2018,1
0.057,Atlas Brew Works,7/29/2016,Atlas Brew Works Dance of Days,18,3.5,DC,Wheat Ale,Washington,5-6%,Wheat,2016,0
0.051,Atlas Brew Works,9/1/2013,Atlas Brew Works District Common,76,3.19,DC,California Common / Steam Beer,Washington,5-6%,Amber Ale,2013,1
0.051,Atlas Brew Works,1/31/2017,Atlas Brew Works District Saison,2,2.93,DC,Saison / Farmhouse / Grisette,Washington,5-6%,Farmhouse Ale,2017,1
0.053,Atlas Brew Works,6/9/2016,Atlas Brew Works Gaslight,3,3.27,DC,Belgian Ale - Pale / Golden,Washington,5-6%,Pale Ale,2016,1
0.094,Atlas Brew Works,5/13/2018,Atlas Brew Works Giant Flaming Zombie Polar Bear,2,3.11,DC,IIPA - Imperial / Double IPA,Washington,8% and more,IPA,2018,1
0.07,Atlas Brew Works,10/5/2013,Atlas Brew Works Gov't Shutdown Ale,4,3.34,DC,IPA,Washington,7-8%,IPA,2013,1
