abv,brewery,date_added,link,name,num_ratings,rating,style,style_rating
0.032, 3 Stars Brewing Company,5/17/2013,www.ratebeer.com/beer/3-stars-bw-rye-5/213632/,3 Stars B.W. Rye #5,3,2.92,Mild Ale,
0.095, 3 Stars Brewing Company,8/9/2013,www.ratebeer.com/beer/3-stars-barrel-1-keg-1/224372/,3 Stars Barrel 1 Keg 1,5,3.15,Porter - Imperial,
0.102, 3 Stars Brewing Company,5/8/2014,www.ratebeer.com/beer/3-stars-barrel-aged-winter-madness/264502/,3 Stars Barrel Aged Winter Madness,6,3.05,Strong Ale - American,
0.059, 3 Stars Brewing Company,10/4/2014,www.ratebeer.com/beer/3-stars-basement-at-the-alamo/291232/,3 Stars Basement at the Alamo,2,2.9,Pale Ale - American / APA,
0.048, 3 Stars Brewing Company,9/17/2018,www.ratebeer.com/beer/3-stars-biscuits-marmalade-kolsch/658820/,3 Stars Biscuits & Marmalade Kölsch,1,3.0,Kölsch / Kölsch-Style,
0.045, 3 Stars Brewing Company,2/14/2016,www.ratebeer.com/beer/3-stars-bless-your-heart/395899/,3 Stars Bless Your Heart,4,3.07,Amber Lager - Intl / Vienna,
0.09, 3 Stars Brewing Company,7/28/2013,www.ratebeer.com/beer/3-stars-born-sinner/222731/,3 Stars Born Sinner,7,3.16,Porter - Imperial,
0.046, 3 Stars Brewing Company,12/31/2018,www.ratebeer.com/beer/3-stars-boyzen-da-hood/692310/,3 Stars Boyzen Da Hood,1,3.09,Gose,
0.05, 3 Stars Brewing Company,11/4/2018,www.ratebeer.com/beer/3-stars-bw-rye-lager/672786/,3 Stars BW Rye (Lager),2,2.86,Amber Lager - Intl / Vienna,
0.052, 3 Stars Brewing Company,7/2/2013,www.ratebeer.com/beer/3-stars-citra-lemon-peel-saison/219159/,3 Stars Citra & Lemon Peel Saison,81,3.39,Saison / Farmhouse / Grisette,54.0
0.05, 3 Stars Brewing Company,10/15/2015,www.ratebeer.com/beer/3-stars-citra-lemon-peel-saison-blackberries/368129/,3 Stars Citra & Lemon Peel Saison (Blackberries) ,2,3.05,Saison / Farmhouse / Grisette,
0.05, 3 Stars Brewing Company,5/8/2014,www.ratebeer.com/beer/3-stars-citra-lemon-peel-saison-hibiscus/264504/,3 Stars Citra & Lemon Peel Saison (Hibiscus),3,3.27,Saison / Farmhouse / Grisette,
0.052, 3 Stars Brewing Company,9/21/2016,www.ratebeer.com/beer/3-stars-citra-lemon-peel-saison-watermelon-juice-tequila-oak-chips/451120/,3 Stars Citra & Lemon Peel Saison (Watermelon Juice & Tequila Oak Chips),3,3.12,Saison / Farmhouse / Grisette,
0.096, 3 Stars Brewing Company,8/10/2012,www.ratebeer.com/beer/3-stars-coffee-pandemic/182048/,3 Stars Coffee Pandemic,8,3.21,Porter - Imperial,
0.036, 3 Stars Brewing Company,6/6/2015,www.ratebeer.com/beer/3-stars-cognitive-dissonance/338527/,3 Stars Cognitive Dissonance,11,3.29,Berliner Weisse,39.0
0.036, 3 Stars Brewing Company,6/10/2016,www.ratebeer.com/beer/3-stars-cognitive-dissonance-pineapple/425317/,3 Stars Cognitive Dissonance (Pineapple),2,3.14,Berliner Weisse,
0.036, 3 Stars Brewing Company,9/15/2015,www.ratebeer.com/beer/3-stars-cognitive-dissonance-raspberry/361098/,3 Stars Cognitive Dissonance (Raspberry),15,3.47,Berliner Weisse,70.0
0.05, 3 Stars Brewing Company,12/23/2016,www.ratebeer.com/beer/3-stars-courting-the-squall/474237/,3 Stars Courting the Squall,22,3.27,Stout,44.0
0.08, 3 Stars Brewing Company,10/6/2018,www.ratebeer.com/beer/3-stars-cutty-supreme/664098/,3 Stars Cutty Supreme,6,3.26,IIPA - Imperial / Double IPA,
0.116, 3 Stars Brewing Company,12/27/2015,www.ratebeer.com/beer/3-stars-death-star/384886/,3 Stars Death Star,3,2.85,Belgian Ale - Strong Pale,
