abv,address,brewery,country,date_added,google_map_link,link,name,num_ratings,postal_code,rating,state,style,style_rating,town
0.11,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,11/30/2015,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-2015-illuminati-4/378752/,3 Stars 2015 Illuminati #4,5,20011,2.78,Washington DC,Strong Ale - American,,"Washington, DC"
0.104,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,1/6/2016,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-2015-illuminati-5/387382/,3 Stars 2015 Illuminati #5,2,20011,3.11,Washington DC,Strong Ale - American,,"Washington, DC"
0.125,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,2/27/2016,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-2016-illuminati-1/398596/,3 Stars 2016 Illuminati #1,6,20011,3.06,Washington DC,Strong Ale - American,,"Washington, DC"
0.069,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,8/24/2016,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-2016-illuminati-2/444156/,3 Stars 2016 Illuminati #2,2,20011,2.95,Washington DC,Saison / Farmhouse / Grisette,,"Washington, DC"
0.068,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,10/12/2016,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-2016-illuminati-3/456310/,3 Stars 2016 Illuminati #3,0,20011,,Washington DC,Sour / Wild Beer,,"Washington, DC"
0.09,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,12/29/2016,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-2016-illuminati-4/475359/,3 Stars 2016 Illuminati #4,1,20011,2.85,Washington DC,Stout - Imperial,,"Washington, DC"
0.07,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,12/29/2016,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-2016-illuminati-5/475361/,3 Stars 2016 Illuminati #5,1,20011,2.87,Washington DC,Sour / Wild Beer,,"Washington, DC"
0.025,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,8/9/2014,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-51-statehood-radler/280828/,3 Stars 51 Statehood Radler,0,20011,,Washington DC,Radler / Shandy,,"Washington, DC"
0.077,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,7/9/2018,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-77-sevilles/636625/,3 Stars 77 Sevilles,3,20011,3.25,Washington DC,IIPA - Imperial / Double IPA,,"Washington, DC"
0.072,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,5/10/2018,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-7739s-bonnevilles/617021/,3 Stars 77's & Bonnevilles,1,20011,3.02,Washington DC,IPA,,"Washington, DC"
0.08,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,5/13/2018,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-80839s/618042/,3 Stars 808's,3,20011,3.1,Washington DC,IIPA - Imperial / Double IPA,,"Washington, DC"
0.063,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,3/23/2015,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-above-the-clouds/322642/,3 Stars Above the Clouds,49,20011,3.58,Washington DC,Saison / Farmhouse / Grisette,88.0,"Washington, DC"
0.08,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,11/11/2011,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-bw-rye-2/158518/,3 Stars B.W. Rye #2,5,20011,3.01,Washington DC,Specialty Grain - Other,,"Washington, DC"
0.08,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,12/13/2011,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-bw-rye-2-barrel-aged/161062/,3 Stars B.W. Rye #2 Barrel Aged,2,20011,2.86,Washington DC,Porter,,"Washington, DC"
0.058,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,2/9/2012,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-bw-rye-3/165729/,3 Stars B.W. Rye #3,4,20011,3.04,Washington DC,Saison / Farmhouse / Grisette,,"Washington, DC"
0.058,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,2/9/2012,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-bw-rye-3-citra-lemon-peel/165783/,3 Stars B.W. Rye #3 (Citra & lemon peel),3,20011,3.07,Washington DC,Saison / Farmhouse / Grisette,,"Washington, DC"
0.02,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,3/23/2013,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-bw-rye-4-rye-gose/206326/,3 Stars B.W. Rye #4 (Rye Gose),8,20011,2.96,Washington DC,Gose,,"Washington, DC"
0.032,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,5/17/2013,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-bw-rye-5/213632/,3 Stars B.W. Rye #5,3,20011,2.92,Washington DC,Mild Ale,,"Washington, DC"
0.095,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,8/9/2013,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-barrel-1-keg-1/224372/,3 Stars Barrel 1 Keg 1,5,20011,3.15,Washington DC,Porter - Imperial,,"Washington, DC"
0.102,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,5/8/2014,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-barrel-aged-winter-madness/264502/,3 Stars Barrel Aged Winter Madness,6,20011,3.05,Washington DC,Strong Ale - American,,"Washington, DC"
0.059,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,10/4/2014,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-basement-at-the-alamo/291232/,3 Stars Basement at the Alamo,2,20011,2.9,Washington DC,Pale Ale - American / APA,,"Washington, DC"
0.048,"6400 Chillum Pl, NW", 3 Stars Brewing Company,USA,9/17/2018,maps.google.com/maps?f=q&hl=en&geocode=&q=3+Stars+Brewing+Company%2C6400+Chillum+Pl%2C+NW%2C+Washington%2C+DC%2C+Washington+DC%2C+United+States%2C+20011,www.ratebeer.com/beer/3-stars-biscuits-marmalade-kolsch/658820/,3 Stars Biscuits & Marmalade Kölsch,1,20011,3.0,Washington DC,Kölsch / Kölsch-Style,,"Washington, DC"
